H 321 S. MAIN ST                                                                
P MARY E    21 F                                                                
P WILLIAM M 23 M                                                                
P SUSAN K    3 F                                                                
H 324 S. MAIN ST                                                                
P THOMAS H  79 M                                                                
P WALTER S  46 M                                                                
P ALICE A   42 F                                                                
P MARYANN A 20 F                                                                
P JOHN S    16 M                                                                
H 325A S. MAIN ST                                                               
P JAMES L   34 M                                                                
P LIZA A    31 F                                                                
